city,prop_id,facility_type,floor_area,site_eui
Washington DC,438,Office,143997,114.2
Washington DC,439,Office,109959,66.1
Washington DC,440,Office,864085,39
Washington DC,441,Office,366128,83.8
Washington DC,442,Office,244160,57.6
Washington DC,443,Office,504155,68.4
Washington DC,444,Office,443078,47.5
Washington DC,445,Office,233173,61.3
Washington DC,446,Multifamily Housing,80258,59.5
Washington DC,447,Multifamily Housing,80492,47.8
Washington DC,448,Office,75977,72.7
Washington DC,449,Multifamily Housing,212593,34.6
Washington DC,450,Office,181363,109.2
Washington DC,451,Office,366607,63.9
Washington DC,452,Office,414101,69.7
Washington DC,453,Office,876744,58.7
Washington DC,454,Multifamily Housing,124036,58.8
Washington DC,455,Office,57165,25.4
Washington DC,456,K-12 School,69000,48.3
Washington DC,457,Office,27760,41.2
Washington DC,458,Multifamily Housing,233217,45.9
Washington DC,459,Multifamily Housing,177379,48.8
Washington DC,460,Office,274148,54.4
Washington DC,461,Office,160514,53.7
Washington DC,462,Office,604549,53.4
Washington DC,463,Multifamily Housing,374625,85.8
Washington DC,464,Multifamily Housing,581548,67.7
Washington DC,465,Office,344081,44.2
Washington DC,466,Office,200969,60.9
Washington DC,467,Office,112635,70.6
Washington DC,468,Office,118044,52.9
Washington DC,469,Office,187954,52.1
Washington DC,470,Office,174072,93
Washington DC,471,Office,260064,66.1
Washington DC,472,Office,270818,79.7
Washington DC,473,Multifamily Housing,120274,61.9
Washington DC,474,Office,407321,41.9
Washington DC,475,Office,314276,62
Washington DC,476,Office,326513,99.6
Washington DC,477,Office,120838,68.1
Washington DC,478,Multifamily Housing,80000,43.9
Washington DC,479,Multifamily Housing,87604,41.7
Washington DC,480,Office,342799,91.7
Washington DC,481,Office,473143,34.8
Washington DC,482,Office,318853,61.9
Washington DC,483,Office,238127,59.1
Washington DC,484,Office,62466,43.7
Washington DC,485,Office,398837,56.8
Washington DC,486,Office,210645,47.5
Washington DC,487,Office,475190,53.3
Washington DC,488,Multifamily Housing,99672,64.3
Washington DC,489,Office,532128,56.4
Washington DC,490,K-12 School,109000,80.1
Washington DC,491,K-12 School,53000,68.7
Washington DC,492,Multifamily Housing,124702,56.2
Washington DC,493,Multifamily Housing,266168,43.3
Washington DC,494,Multifamily Housing,145200,75.2
Washington DC,495,Multifamily Housing,85571,9.9
Washington DC,496,Office,282901,67.1
Washington DC,497,Office,154799,52.1
Washington DC,498,Multifamily Housing,507385,74.9
Washington DC,499,Office,98425,73.7
Washington DC,500,Multifamily Housing,119316,86.2
Washington DC,501,Multifamily Housing,262000,30.9
Washington DC,502,Multifamily Housing,82800,14.7
Washington DC,503,Multifamily Housing,235784,3.6
Washington DC,504,Office,346459,44.1
Washington DC,505,Office,61230,43.8
Washington DC,506,Office,119468,69
Washington DC,507,Office,514474,65.5
Washington DC,508,Office,511302,34.8
Washington DC,509,Office,74468,42.4
Washington DC,510,Office,541518,67.2
Washington DC,511,Office,356387,45.8
Washington DC,512,Multifamily Housing,161624,1.1
Washington DC,513,Multifamily Housing,341643,6.5
Washington DC,514,Office,163747,72.2
Washington DC,515,Office,153031,88.6
Washington DC,516,Office,56651,80.9
Washington DC,517,Office,244003,57.3
Washington DC,518,Office,572811,55.4
Washington DC,519,Office,145187,76.4
Washington DC,520,Office,1582262,59.8
Washington DC,521,Multifamily Housing,316212,57.4
Washington DC,522,Multifamily Housing,381600,90.6
Washington DC,523,Multifamily Housing,53000,75.8
Washington DC,524,Multifamily Housing,100326,83.2
Washington DC,525,Multifamily Housing,378400,38.9
Washington DC,526,Office,502968,49.6
Washington DC,527,Office,202092,59.2
Washington DC,528,Multifamily Housing,233968,59.2
Washington DC,529,Office,363095,189.2
Washington DC,530,Office,543682,55.6
Washington DC,531,Multifamily Housing,145435,44.5
Washington DC,532,Office,329549,89.2
Washington DC,533,Office,422684,80.8
Washington DC,534,Office,475932,14.8
Washington DC,535,Office,252289,48.1
Washington DC,536,Office,83620,46.8
Washington DC,537,Office,62789,82.1
Washington DC,538,Office,280118,60.5
Washington DC,539,K-12 School,71900,65.8
Washington DC,540,Multifamily Housing,237168,45.6
Washington DC,541,Multifamily Housing,315832,79.4
Washington DC,542,Multifamily Housing,737786,74.6
Washington DC,543,Multifamily Housing,173070,48.9
Washington DC,544,Multifamily Housing,115493,59.9
Washington DC,545,Multifamily Housing,239465,57.8
Washington DC,546,Multifamily Housing,125000,50.7
Washington DC,547,Multifamily Housing,225665,37.8
Washington DC,548,Multifamily Housing,324296,41.8
Washington DC,549,Multifamily Housing,336540,35.7
Washington DC,550,Multifamily Housing,337838,21.6
Washington DC,551,Office,376559,39.2
Washington DC,552,Multifamily Housing,223804,60.9
Washington DC,553,Multifamily Housing,605405,61.1
Washington DC,554,Office,247330,62.3
Washington DC,555,Multifamily Housing,197648,75.6
Washington DC,556,Multifamily Housing,407710,53.5
Washington DC,557,Multifamily Housing,178700,64.6
Washington DC,558,Multifamily Housing,112378,36.2
Washington DC,559,Multifamily Housing,68989,62.5
Washington DC,560,Multifamily Housing,208767,58.6
Washington DC,561,Multifamily Housing,363927,36.9
Washington DC,562,Multifamily Housing,79933,42.5
Washington DC,563,Office,345776,65
Washington DC,564,Office,850354,80.9
Washington DC,565,Office,533545,81.9
Washington DC,566,Office,431263,81.6
Washington DC,567,Office,252361,116.8
Washington DC,568,Office,294130,52.6
Washington DC,569,Office,336246,81.7
Washington DC,570,Office,414177,49.7
Washington DC,571,Office,378045,37.9
Washington DC,572,Office,659773,58.9
Washington DC,573,Multifamily Housing,289750,69.1
Washington DC,574,Multifamily Housing,546234,70.6
Washington DC,575,Multifamily Housing,256484,71.5
Washington DC,576,Multifamily Housing,305520,81.8
Washington DC,577,Multifamily Housing,100000,174.5
Washington DC,578,Office,296748,64.4
Washington DC,579,Office,340000,46.1
Washington DC,580,Multifamily Housing,102743,80
Washington DC,581,Multifamily Housing,102743,130.2
Washington DC,582,Multifamily Housing,550000,71.6
Washington DC,583,Multifamily Housing,486912,70.4
Washington DC,584,Multifamily Housing,281958,47.3
Washington DC,585,K-12 School,170547,10
Washington DC,586,K-12 School,252384,62.8
Washington DC,587,K-12 School,122200,111.3
Washington DC,588,Multifamily Housing,143518,45.4
Washington DC,589,Multifamily Housing,174591,66.3
Washington DC,590,Office,310129,56.3
Washington DC,591,Office,217705,81.1
Washington DC,592,Office,134435,69.9
Washington DC,593,Office,138711,52.1
Washington DC,594,Office,117932,75.5
Washington DC,595,Office,527366,67.8
Washington DC,596,Office,87757,44.9
Washington DC,597,Multifamily Housing,115323,148.3
Washington DC,598,Multifamily Housing,23876,120.4
Washington DC,599,Multifamily Housing,35992,10.4
Washington DC,600,Multifamily Housing,196736,117.6
Washington DC,601,Multifamily Housing,151944,89.7
Washington DC,602,Multifamily Housing,325984,13.2
Washington DC,603,Multifamily Housing,63444,44.3
Washington DC,604,Multifamily Housing,196645,109.3
Washington DC,605,Multifamily Housing,80034,33.1
Washington DC,606,Multifamily Housing,136141,32.8
Washington DC,607,Office,336820,48.9
Washington DC,608,Multifamily Housing,367526,40.4
Washington DC,609,Office,195276,48.7
Washington DC,610,Office,402012,47.2
Washington DC,611,Office,343324,58.7
Washington DC,612,Office,272238,48.7
Washington DC,613,Office,104358,63.2
Washington DC,614,Office,231958,45.8
Washington DC,615,Multifamily Housing,58300,96.2
Washington DC,616,Office,149722,83.6
Washington DC,617,Office,133000,44.3
Washington DC,618,Office,212247,73.1
Washington DC,619,Office,178148,49.3
Washington DC,620,Office,606193,59.2
Washington DC,621,Office,75472,73.4
Washington DC,622,Office,82300,113.6
Washington DC,623,Office,205580,111.5
Washington DC,624,Office,221313,105.8
Washington DC,625,Office,275905,379.2
Washington DC,626,Multifamily Housing,223284,88.6
Washington DC,627,Multifamily Housing,384480,28.7
Washington DC,628,Office,500203,31.8
Washington DC,629,Multifamily Housing,389663,49.3
Washington DC,630,Office,293884,53.8
Washington DC,631,Office,119015,107.1
Washington DC,632,Office,343979,67.1
Washington DC,633,Multifamily Housing,398500,27.6
Washington DC,634,Multifamily Housing,475268,45.3
Washington DC,635,Office,435400,52.1
Washington DC,636,Office,280363,31.3
Washington DC,637,Office,338929,46.7
Washington DC,638,Office,232126,50.5
Washington DC,639,Office,558620,61.6
Washington DC,640,Office,252992,71.5
Washington DC,641,Office,275617,63.8
Washington DC,642,Office,321544,43.6
Washington DC,643,Office,314317,43.4
Washington DC,644,Office,244307,82.3
Washington DC,645,Office,280169,49.1
Washington DC,646,Office,391971,54.9
Washington DC,647,Multifamily Housing,277005,35.3
Washington DC,648,Multifamily Housing,460453,41.3
Washington DC,649,Office,424076,33.6
Washington DC,650,Office,196545,62
Washington DC,651,Office,319955,54.7
Washington DC,652,Multifamily Housing,244289,43
Washington DC,653,Office,295059,46.7
Washington DC,654,Office,623532,51.3
Washington DC,655,Office,377803,28
Washington DC,656,Multifamily Housing,496052,77.1
Washington DC,657,Multifamily Housing,185341,44.6
Washington DC,658,Office,338645,41
Washington DC,659,Office,436178,56.1
Washington DC,660,Office,84540,70.8
Washington DC,661,Office,788412,64.5
Washington DC,662,Office,391885,57.8
Washington DC,663,Multifamily Housing,60842,65.4
Washington DC,664,Multifamily Housing,214137,39.6
Washington DC,665,Multifamily Housing,425000,37.4
Washington DC,666,Office,303517,73
Washington DC,667,Office,256777,59.2
Washington DC,668,Multifamily Housing,236905,33.7
Washington DC,669,Multifamily Housing,62786,31.8
Washington DC,670,Multifamily Housing,548941,71.4
Washington DC,671,Multifamily Housing,398103,44.2
Washington DC,672,K-12 School,55013,46.9
Washington DC,673,Office,75954,75.1
Washington DC,674,Office,67749,70.7
Washington DC,675,Office,1583819,64.1
Washington DC,676,Multifamily Housing,331165,124.5
Washington DC,677,Multifamily Housing,208969,42.2
Washington DC,678,Multifamily Housing,40000,23.8
Washington DC,679,Office,56433,978.4
Washington DC,680,Multifamily Housing,206574,56.5
Washington DC,681,K-12 School,49702,35.3
Washington DC,682,Office,299132,67.2
Washington DC,683,K-12 School,114724,60.9
Washington DC,684,K-12 School,39334,73.4
Washington DC,685,Multifamily Housing,48064,81.7
Washington DC,686,K-12 School,98900,91
Washington DC,687,Office,77158,31.2
Washington DC,688,Office,88886,49.1
